Evaluating ./philosophers...
Program: ./readers_writers_TATAS | Threads: 2 | Run: 1 | Time: .033877464 seconds
Program: ./readers_writers_TATAS | Threads: 2 | Run: 2 | Time: .073947711 seconds
Program: ./readers_writers_TATAS | Threads: 2 | Run: 3 | Time: .037273254 seconds
Program: ./readers_writers_TATAS | Threads: 2 | Run: 4 | Time: .033259058 seconds
Program: ./readers_writers_TATAS | Threads: 2 | Run: 5 | Time: .030479099 seconds
Program: ./readers_writers_TATAS | Threads: 4 | Run: 1 | Time: .056858314 seconds
Program: ./readers_writers_TATAS | Threads: 4 | Run: 2 | Time: .069917529 seconds
Program: ./readers_writers_TATAS | Threads: 4 | Run: 3 | Time: .031483622 seconds
Program: ./readers_writers_TATAS | Threads: 4 | Run: 4 | Time: .056204760 seconds
Program: ./readers_writers_TATAS | Threads: 4 | Run: 5 | Time: .044477491 seconds
Program: ./readers_writers_TATAS | Threads: 8 | Run: 1 | Time: .084506186 seconds
Program: ./readers_writers_TATAS | Threads: 8 | Run: 2 | Time: .015954401 seconds
Program: ./readers_writers_TATAS | Threads: 8 | Run: 3 | Time: .023006929 seconds
Program: ./readers_writers_TATAS | Threads: 8 | Run: 4 | Time: .034968530 seconds
Program: ./readers_writers_TATAS | Threads: 8 | Run: 5 | Time: .051705236 seconds
Program: ./readers_writers_TATAS | Threads: 16 | Run: 1 | Time: 2.141846171 seconds
Program: ./readers_writers_TATAS | Threads: 16 | Run: 2 | Time: .053473149 seconds
Program: ./readers_writers_TATAS | Threads: 16 | Run: 3 | Time: .056011037 seconds
Program: ./readers_writers_TATAS | Threads: 16 | Run: 4 | Time: .037265628 seconds
Program: ./readers_writers_TATAS | Threads: 16 | Run: 5 | Time: .099069694 seconds
Program: ./readers_writers_TATAS | Threads: 32 | Run: 1 | Time: 6.017205777 seconds
Program: ./readers_writers_TATAS | Threads: 32 | Run: 2 | Time: .030574529 seconds
Program: ./readers_writers_TATAS | Threads: 32 | Run: 3 | Time: .033105759 seconds
Program: ./readers_writers_TATAS | Threads: 32 | Run: 4 | Time: .288853593 seconds
Program: ./readers_writers_TATAS | Threads: 32 | Run: 5 | Time: .022564781 seconds



arnaud@arnaud-VirtualBox:~/Downloads/SystInfo/LINFO1252_Projet1$ make
gcc -Wall -Werror -pthread -g philosophers.c -o philosophers -lpthread
gcc -Wall -Werror -pthread -g philosophers_TAS.c -o philosophers_TAS -lpthread
gcc -Wall -Werror -pthread -g philosophers_TATAS.c -o philosophers_TATAS -lpthread
gcc -Wall -Werror -pthread -g    producers_consumers.c   -o producers_consumers
